Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,79.947,10.435,0.183333337,13.7138789,100.5600019
0102100F02,79.952,10.44,0.189999998,13.7138526,100.5600395
0102100F02,79.957,10.445,0.194999993,13.7138251,100.5600756
0102100F02,79.962,10.45,0.186666667,13.7137965,100.560111
0102100F02,79.967,10.455,0.185000002,13.7137695,100.5601473
0102100F02,79.972,10.46,0.209999993,13.7137429,100.5601848
0102100F02,79.977,10.465,0.200000003,13.7137155,100.5602214
0102100F02,79.982,10.47,0.189999998,13.7136878,100.5602575
0102100F02,79.987,10.475,0.200000003,13.7136596,100.5602942
0102100F02,79.992,10.48,0.189999998,13.7136313,100.560331
0102100F02,79.997,10.485,0.189999998,13.7136034,100.5603669
0102100F02,80.002,10.49,0.180000007,13.7135753,100.5604032
0102100F02,80.007,10.495,0.200000003,13.7135475,100.5604397
0102100F02,80.012,10.5,0.180000007,13.7135199,100.5604771
0102100F02,80.017,10.505,0.180000007,13.7134941,100.5605152
0102100F02,80.022,10.51,0.176666677,13.7134678,100.5605526
0102100F02,80.027,10.515,0.189999998,13.7134407,100.5605895
0102100F02,80.032,10.52,0.194999993,13.7134133,100.5606264
0102100F02,80.037,10.525,0.189999998,13.7133854,100.5606639
0102100F02,80.042,10.53,0.183333337,13.7133588,100.5607006
0102100F02,80.047,10.535,0.194999993,13.7133315,100.5607374
0102100F02,80.052,10.54,0.193333328,13.7133033,100.5607747
0102100F02,80.057,10.545,0.193333328,13.7132763,100.5608118
0102100F02,80.062,10.55,0.200000003,13.7132488,100.5608486
0102100F02,80.067,10.555,0.183333337,13.713221,100.5608849
0102100F02,80.072,10.56,0.219999984,13.7131936,100.5609214
0102100F02,80.077,10.565,0.234999999,13.7131667,100.560958
0102100F02,80.082,10.57,0.224999994,13.7131399,100.5609951
0102100F02,80.087,10.575,0.219999984,13.7131124,100.5610316
0102100F02,80.092,10.58,0.239999995,13.7130843,100.5610681
0102100F02,80.097,10.585,0.204999998,13.7130568,100.5611045
0102100F02,80.102,10.59,0.216666654,13.7130296,100.5611414
0102100F02,80.107,10.595,0.224999994,13.713002,100.5611785
0102100F02,80.112,10.6,0.200000003,13.712974,100.5612151
0102100F02,80.117,10.605,0.176666677,13.7129465,100.5612515
0102100F02,80.122,10.61,0.175000012,13.7129188,100.5612879
0102100F02,80.127,10.615,0.175000012,13.7128917,100.5613234
0102100F02,80.132,10.62,0.183333337,13.7128648,100.5613612
0102100F02,80.137,10.625,0.175000012,13.7128372,100.5613987
0102100F02,80.142,10.63,0.185000002,13.7128104,100.5614349
0102100F02,80.147,10.635,0.196666673,13.7127822,100.5614725
0102100F02,80.152,10.64,0.194999993,13.7127545,100.561509
0102100F02,80.157,10.645,0.200000003,13.7127273,100.5615461
0102100F02,80.162,10.65,0.216666654,13.7126998,100.5615836
0102100F02,80.167,10.655,0.209999993,13.7126724,100.5616193
0102100F02,80.172,10.66,0.219999999,13.7126441,100.561656
0102100F02,80.177,10.665,0.226666674,13.7126168,100.5616919
0102100F02,80.182,10.67,0.199999988,13.712589,100.5617281
0102100F02,80.187,10.675,0.194999993,13.7125607,100.5617648
0102100F02,80.192,10.68,0.223333314,13.7125331,100.5618007
0102100F02,80.197,10.685,0.226666674,13.7125051,100.5618368
0102100F02,80.202,10.69,0.224999994,13.7124778,100.5618736
0102100F02,80.207,10.695,0.219999984,13.712451,100.5619105
0102100F02,80.212,10.7,0.226666674,13.7124236,100.5619477
0102100F02,80.217,10.705,0.230000004,13.7123969,100.5619849
0102100F02,80.222,10.71,0.219999984,13.7123701,100.5620223
0102100F02,80.227,10.715,0.219999984,13.7123427,100.5620598
0102100F02,80.232,10.72,0.215000004,13.7123155,100.5620965
0102100F02,80.237,10.725,0.200000003,13.7122887,100.5621332
0102100F02,80.242,10.73,0.209999993,13.7122615,100.5621704
0102100F02,80.247,10.735,0.215000004,13.7122335,100.5622085
0102100F02,80.252,10.74,0.189999998,13.7122081,100.5622447
0102100F02,80.257,10.745,0.209999993,13.7121793,100.5622821
0102100F02,80.262,10.75,0.209999993,13.7121522,100.5623188
0102100F02,80.267,10.755,0.200000003,13.7121262,100.5623551
0102100F02,80.272,10.76,0.206666663,13.7121004,100.5623928
0102100F02,80.277,10.765,0.215000004,13.7120747,100.5624308
0102100F02,80.282,10.77,0.204999998,13.7120506,100.5624691
0102100F02,80.287,10.775,0.206666663,13.7120246,100.5625078
0102100F02,80.292,10.78,0.194999993,13.711999,100.5625458
0102100F02,80.297,10.785,0.200000003,13.7119739,100.5625835
0102100F02,80.302,10.79,0.196666673,13.7119498,100.562622
0102100F02,80.307,10.795,0.215000004,13.711925,100.5626606
0102100F02,80.312,10.8,0.219999999,13.7119002,100.5626991
0102100F02,80.317,10.805,0.216666654,13.7118774,100.5627389
0102100F02,80.322,10.81,0.204999998,13.7118548,100.5627791
0102100F02,80.327,10.815,0.200000003,13.7118328,100.5628192
0102100F02,80.332,10.82,0.183333337,13.7118111,100.5628595
0102100F02,80.337,10.825,0.200000003,13.7117895,100.5629001
0102100F02,80.342,10.83,0.215000004,13.7117684,100.5629412
0102100F02,80.347,10.835,0.200000003,13.7117467,100.5629831
0102100F02,80.352,10.84,0.206666663,13.7117259,100.5630241
0102100F02,80.357,10.845,0.219999999,13.7117065,100.5630649
0102100F02,80.362,10.85,0.200000003,13.711687,100.5631066
0102100F02,80.367,10.855,0.216666654,13.7116689,100.5631487
0102100F02,80.372,10.86,0.204999998,13.711651,100.5631918
0102100F02,80.377,10.865,0.199999988,13.7116334,100.563234
0102100F02,80.382,10.87,0.180000007,13.7116166,100.5632761
0102100F02,80.387,10.875,0.175000012,13.7116004,100.5633196
0102100F02,80.392,10.88,0.194999993,13.7115846,100.5633625
0102100F02,80.397,10.885,0.186666667,13.7115691,100.5634061
0102100F02,80.402,10.89,0.189999998,13.7115545,100.5634498
0102100F02,80.407,10.895,0.185000002,13.7115412,100.5634935
0102100F02,80.412,10.9,0.196666673,13.711528,100.5635377
0102100F02,80.417,10.905,0.200000003,13.7115154,100.5635821
0102100F02,80.422,10.91,0.209999993,13.7115034,100.5636264
0102100F02,80.427,10.915,0.189999998,13.7114927,100.5636712
0102100F02,80.432,10.92,0.209999993,13.7114821,100.5637165
0102100F02,80.437,10.925,0.185000002,13.7114719,100.5637607
0102100F02,80.442,10.93,0.196666658,13.7114624,100.5638062
0102100F02,80.447,10.935,0.185000002,13.7114535,100.5638517
0102100F02,80.452,10.94,0.189999998,13.7114456,100.5638966
0102100F02,80.457,10.945,0.209999993,13.7114384,100.5639422
0102100F02,80.462,10.95,0.234999999,13.7114315,100.5639876
0102100F02,80.467,10.955,0.25999999,13.7114261,100.5640335
0102100F02,80.472,10.96,0.209999993,13.711421,100.5640791
0102100F02,80.477,10.965,0.204999998,13.7114163,100.564124
0102100F02,80.482,10.97,0.239999995,13.7114123,100.5641702
0102100F02,80.487,10.975,0.25999999,13.7114088,100.5642166
0102100F02,80.492,10.98,0.25666666,13.7114068,100.564262
0102100F02,80.497,10.985,0.230000004,13.7114049,100.5643087
0102100F02,80.502,10.99,0.24666667,13.711404,100.5643561
0102100F02,80.507,10.995,0.25999999,13.7114029,100.5644024
0102100F02,80.512,11,0.280000001,13.711402,100.5644485
0102100F02,80.517,11.005,0.263333321,13.7114034,100.5644951
0102100F02,80.522,11.01,0.280000001,13.7114087,100.5645433
0102100F02,80.527,11.015,0.300000012,13.7114108,100.5645892
0102100F02,80.532,11.02,0.306666672,13.7114134,100.564635
0102100F02,80.537,11.025,0.293333322,13.7114172,100.5646809
0102100F02,80.542,11.03,0.289999992,13.7114203,100.564725
0102100F02,80.547,11.035,0.305000007,13.711424,100.5647742
0102100F02,80.552,11.04,0.286666662,13.7114274,100.5648201
0102100F02,80.557,11.045,0.310000002,13.7114313,100.5648656
0102100F02,80.562,11.05,0.295000017,13.711437,100.5649122
0102100F02,80.567,11.055,0.283333331,13.7114434,100.5649573
0102100F02,80.572,11.06,0.280000001,13.7114504,100.5650029
