Section,Distance (km),Sub Distance (km),,Latitude,Longitude
0101100F02,73.351,1.44,0.344999999,13.7668954,100.5495594
0101100F02,73.356,1.445,0.340000004,13.7668606,100.5495445
0101100F02,73.361,1.45,0.303333312,13.766826,100.5495297
0101100F02,73.366,1.455,0.300000012,13.7667937,100.5495159
0101100F02,73.371,1.46,0.355000019,13.766756,100.549501
0101100F02,73.376,1.465,0.353333354,13.7667138,100.5494853
0101100F02,73.381,1.47,0.389999986,13.7666711,100.5494682
0101100F02,73.386,1.475,0.360000014,13.7666317,100.5494524
0101100F02,73.391,1.48,0.336666673,13.7665951,100.5494376
0101100F02,73.396,1.485,0.330000013,13.7665599,100.5494233
0101100F02,73.401,1.49,0.295000017,13.7665174,100.549406
0101100F02,73.406,1.495,0.25666666,13.7664766,100.5493893
0101100F02,73.411,1.5,0.316666663,13.7664336,100.549371
0101100F02,73.416,1.505,0.314999998,13.7663904,100.5493523
0101100F02,73.421,1.51,0.24333334,13.7663481,100.5493337
0101100F02,73.426,1.515,0.313333303,13.766307,100.5493143
0101100F02,73.431,1.52,0.310000002,13.7662655,100.5492947
0101100F02,73.436,1.525,0.305000007,13.7662243,100.5492749
0101100F02,73.441,1.53,0.310000002,13.7661836,100.5492549
0101100F02,73.446,1.535,0.324999988,13.7661431,100.549235
0101100F02,73.451,1.54,0.314999998,13.7661039,100.5492144
0101100F02,73.456,1.545,0.296666652,13.7660656,100.5491941
0101100F02,73.461,1.55,0.305000007,13.7660273,100.5491737
0101100F02,73.466,1.555,0.295000017,13.7659873,100.5491518
0101100F02,73.471,1.56,0.303333342,13.7659478,100.5491302
0101100F02,73.476,1.565,0.289999992,13.7659084,100.5491084
0101100F02,73.481,1.57,0.310000002,13.7658687,100.5490865
0101100F02,73.486,1.575,0.313333303,13.7658296,100.5490648
0101100F02,73.491,1.58,0.293333352,13.7657909,100.5490435
0101100F02,73.496,1.585,0.360000014,13.7657507,100.5490215
0101100F02,73.501,1.59,0.50999999,13.7657113,100.5489999
0101100F02,73.506,1.595,0.656666696,13.7656725,100.5489787
0101100F02,73.511,1.6,0.050000001,13.7656319,100.5489568
0101100F02,73.516,1.605,1.033333421,13.765592,100.5489352
0101100F02,73.521,1.61,0.313333303,13.7655526,100.5489139
0101100F02,73.526,1.615,1.019999981,13.7655128,100.548893
0101100F02,73.531,1.62,0.314999998,13.7654732,100.5488727
0101100F02,73.536,1.625,0.323333353,13.7654335,100.5488522
0101100F02,73.541,1.63,0.574999988,13.7653933,100.5488317
0101100F02,73.546,1.635,0.300000012,13.7653526,100.5488116
0101100F02,73.551,1.64,0.270000011,13.7653113,100.5487913
0101100F02,73.556,1.645,0.310000002,13.7652697,100.5487708
0101100F02,73.561,1.65,0.355000019,13.7652292,100.548751
0101100F02,73.566,1.655,0.356666684,13.7651893,100.5487314
0101100F02,73.571,1.66,0.300000012,13.7651495,100.548712
0101100F02,73.576,1.665,0.310000002,13.7651088,100.5486925
0101100F02,73.581,1.67,0.306666672,13.7650672,100.5486732
0101100F02,73.586,1.675,0.319999993,13.7650258,100.548654
0101100F02,73.591,1.68,0.310000002,13.7649846,100.5486349
0101100F02,73.596,1.685,0.326666683,13.7649432,100.5486158
0101100F02,73.601,1.69,0.300000012,13.7649023,100.548597
0101100F02,73.606,1.695,0.289999992,13.7648614,100.5485781
0101100F02,73.611,1.7,0.296666652,13.7648202,100.5485594
0101100F02,73.616,1.705,0.310000002,13.7647789,100.5485407
0101100F02,73.621,1.71,0.319999993,13.7647377,100.5485221
0101100F02,73.626,1.715,0.340000004,13.7646967,100.5485037
0101100F02,73.631,1.72,0.326666683,13.7646553,100.5484852
0101100F02,73.636,1.725,0.330000013,13.7646139,100.5484668
0101100F02,73.641,1.73,0.335000008,13.7645729,100.5484485
0101100F02,73.646,1.735,0.333333343,13.7645314,100.5484305
0101100F02,73.651,1.74,0.330000013,13.7644897,100.5484127
0101100F02,73.656,1.745,0.340000004,13.764448,100.5483949
0101100F02,73.661,1.75,0.343333334,13.7644065,100.5483772
0101100F02,73.666,1.755,0.319999993,13.7643647,100.54836
0101100F02,73.671,1.76,0.340000004,13.7643227,100.5483427
0101100F02,73.676,1.765,0.340000004,13.764281,100.5483255
0101100F02,73.681,1.77,0.349999994,13.7642393,100.5483085
0101100F02,73.686,1.775,0.340000004,13.7641971,100.5482914
0101100F02,73.691,1.78,0.340000004,13.7641554,100.5482746
0101100F02,73.696,1.785,0.353333354,13.7641136,100.5482577
0101100F02,73.701,1.79,0.340000004,13.7640715,100.5482406
0101100F02,73.706,1.795,0.373333335,13.7640297,100.5482235
0101100F02,73.711,1.8,0.383333325,13.7639877,100.5482063
0101100F02,73.716,1.805,0.355000019,13.7639459,100.5481892
0101100F02,73.721,1.81,0.330000013,13.763904,100.5481719
0101100F02,73.726,1.815,0.319999993,13.763862,100.5481544
0101100F02,73.731,1.82,0.319999993,13.7638204,100.5481371
0101100F02,73.736,1.825,0.319999993,13.7637787,100.5481197
0101100F02,73.741,1.83,0.300000012,13.7637369,100.5481019
0101100F02,73.746,1.835,0.305000007,13.7636956,100.5480843
0101100F02,73.751,1.84,0.310000002,13.763654,100.5480666
0101100F02,73.756,1.845,0.280000001,13.7636126,100.5480489
0101100F02,73.761,1.85,0.289999992,13.7635697,100.5480296
0101100F02,73.766,1.855,0.295000017,13.7635265,100.5480102
0101100F02,73.771,1.86,0.296666682,13.7634839,100.547991
0101100F02,73.776,1.865,0.319999993,13.7634412,100.5479718
0101100F02,73.781,1.87,0.310000002,13.7634014,100.5479537
0101100F02,73.786,1.875,0.293333322,13.7633618,100.5479357
0101100F02,73.791,1.88,0.310000002,13.7633219,100.5479175
0101100F02,73.796,1.885,0.289999992,13.7632819,100.5478991
0101100F02,73.801,1.89,0.289999992,13.7632411,100.5478793
0101100F02,73.806,1.895,0.300000012,13.7632002,100.5478595
0101100F02,73.811,1.9,0.300000012,13.7631594,100.5478397
0101100F02,73.816,1.905,0.289999992,13.7631184,100.5478196
0101100F02,73.821,1.91,0.296666652,13.7630776,100.547799
0101100F02,73.826,1.915,0.319999993,13.7630371,100.5477785
0101100F02,73.831,1.92,0.314999998,13.7629964,100.5477579
0101100F02,73.836,1.925,0.296666652,13.762956,100.5477371
0101100F02,73.841,1.93,0.289999992,13.7629156,100.5477159
0101100F02,73.846,1.935,0.284999996,13.7628755,100.5476949
0101100F02,73.851,1.94,0.289999992,13.7628357,100.5476739
0101100F02,73.856,1.945,0.300000012,13.7627954,100.5476526
0101100F02,73.861,1.95,0.275000006,13.7627546,100.5476306
0101100F02,73.866,1.955,0.300000012,13.762714,100.5476087
0101100F02,73.871,1.96,0.280000001,13.7626735,100.5475868
0101100F02,73.876,1.965,0.25999999,13.7626335,100.5475647
0101100F02,73.881,1.97,0.263333321,13.7625949,100.5475423
0101100F02,73.886,1.975,0.25999999,13.7625563,100.5475198
0101100F02,73.891,1.98,0.270000011,13.7625178,100.5474974
0101100F02,73.896,1.985,0.254999995,13.762479,100.5474749
0101100F02,73.901,1.99,0.273333341,13.7624394,100.5474524
0101100F02,73.906,1.995,0.295000017,13.7623999,100.54743
0101100F02,73.911,2,0.234999999,13.7623604,100.5474075
0101100F02,73.916,2.005,0.343333334,13.7623209,100.547385
0101100F02,73.921,2.01,0.305000007,13.7622818,100.5473623
0101100F02,73.926,2.015,0.245000005,13.7622425,100.5473395
0101100F02,73.931,2.02,0.299999982,13.7622032,100.5473168
0101100F02,73.936,2.025,0.319999993,13.762164,100.547294
0101100F02,73.941,2.03,0.324999988,13.7621248,100.547271
0101100F02,73.946,2.035,0.353333354,13.7620858,100.5472482
0101100F02,73.951,2.04,0.330000013,13.7620468,100.5472253
0101100F02,73.956,2.045,0.314999998,13.7620076,100.5472023
0101100F02,73.961,2.05,0.326666683,13.761969,100.5471783
0101100F02,73.966,2.055,0.316666663,13.7619303,100.5471539
0101100F02,73.971,2.06,0.300000012,13.7618918,100.5471297
0101100F02,73.976,2.065,0.310000002,13.7618531,100.5471054
0101100F02,73.981,2.07,0.330000013,13.7618142,100.5470795
0101100F02,73.986,2.075,0.349999994,13.7617754,100.5470533
0101100F02,73.991,2.08,0.349999994,13.7617365,100.5470269
0101100F02,73.996,2.085,0.350000024,13.7616975,100.5470005
0101100F02,74.001,2.09,0.305000007,13.7616583,100.5469734
0101100F02,74.006,2.095,0.305000007,13.7616184,100.5469453
0101100F02,74.011,2.1,0.326666683,13.7615786,100.5469173
0101100F02,74.016,2.105,0.330000013,13.7615388,100.5468894
0101100F02,74.021,2.11,0.330000013,13.761503,100.5468609
0101100F02,74.026,2.115,0.340000004,13.7614724,100.5468322
0101100F02,74.031,2.12,0.340000004,13.7614415,100.5468033
0101100F02,74.036,2.125,0.349999994,13.7614108,100.5467745
0101100F02,74.041,2.13,0.340000004,13.7613789,100.5467462
0101100F02,74.046,2.135,0.360000014,13.7613432,100.5467187
0101100F02,74.051,2.14,0.329999983,13.7613078,100.5466915
0101100F02,74.056,2.145,0.330000013,13.7612722,100.546664
0101100F02,74.061,2.15,0.330000013,13.7612368,100.5466362
0101100F02,74.066,2.155,0.340000004,13.7612035,100.5466057
0101100F02,74.071,2.16,0.326666683,13.7611699,100.546575
0101100F02,74.076,2.165,0.306666672,13.7611364,100.5465444
0101100F02,74.081,2.17,0.290000021,13.761103,100.5465139
0101100F02,74.086,2.175,0.290000021,13.7610691,100.5464849
0101100F02,74.091,2.18,0.280000001,13.7610355,100.5464563
0101100F02,74.096,2.185,0.289999992,13.7610015,100.5464274
0101100F02,74.101,2.19,0.330000013,13.7609678,100.5463987
0101100F02,74.106,2.195,0.340000004,13.760935,100.5463659
0101100F02,74.111,2.2,0.324999988,13.7609025,100.5463319
0101100F02,74.116,2.205,0.314999998,13.76087,100.546298
0101100F02,74.121,2.21,0.336666673,13.7608376,100.5462642
0101100F02,74.126,2.215,0.324999988,13.7608041,100.5462295
0101100F02,74.131,2.22,0.310000002,13.7607701,100.5461943
0101100F02,74.136,2.225,0.323333353,13.7607359,100.5461589
0101100F02,74.141,2.23,0.313333333,13.7607019,100.5461236
0101100F02,74.146,2.235,0.305000007,13.7606682,100.5460897
0101100F02,74.151,2.24,0.276666671,13.7606355,100.5460583
0101100F02,74.156,2.245,0.286666662,13.7606027,100.5460269
0101100F02,74.161,2.25,0.215000004,13.7605701,100.5459956
0101100F02,74.166,2.255,0.234999999,13.7605376,100.5459645
0101100F02,74.171,2.26,0.230000004,13.7605049,100.5459331
0101100F02,74.176,2.265,0.254999995,13.7604725,100.545902
0101100F02,74.181,2.27,0.270000011,13.7604399,100.5458708
0101100F02,74.186,2.275,0.276666671,13.7604075,100.5458398
0101100F02,74.191,2.28,0.280000001,13.760375,100.5458085
0101100F02,74.196,2.285,0.275000006,13.7603424,100.5457773
0101100F02,74.201,2.29,0.24666667,13.7603101,100.5457463
0101100F02,74.206,2.295,0.204999998,13.7602775,100.5457151
0101100F02,74.211,2.3,0.239999995,13.7602455,100.5456821
0101100F02,74.216,2.305,0.266666651,13.7602138,100.5456482
0101100F02,74.221,2.31,0.269999981,13.7601819,100.5456142
0101100F02,74.226,2.315,0.275000006,13.7601502,100.5455804
0101100F02,74.231,2.32,0.24666667,13.7601173,100.5455483
0101100F02,74.236,2.325,0.273333341,13.7600827,100.5455185
0101100F02,74.241,2.33,0.270000011,13.7600485,100.5454889
0101100F02,74.246,2.335,0.25666666,13.760014,100.5454592
0101100F02,74.251,2.34,0.286666662,13.7599795,100.5454298
0101100F02,74.256,2.345,0.264999986,13.7599437,100.5454014
0101100F02,74.261,2.35,0.264999986,13.7599078,100.5453729
0101100F02,74.266,2.355,0.25999999,13.7598723,100.5453446
0101100F02,74.271,2.36,0.25,13.7598364,100.5453161
0101100F02,74.276,2.365,0.239999995,13.7597997,100.545289
0101100F02,74.281,2.37,0.289999992,13.7597632,100.5452622
0101100F02,74.286,2.375,0.264999986,13.7597264,100.5452351
0101100F02,74.291,2.38,0.25,13.7596901,100.5452084
0101100F02,74.296,2.385,0.24666667,13.7596522,100.545183
0101100F02,74.301,2.39,0.254999995,13.7596139,100.5451582
0101100F02,74.306,2.395,0.270000011,13.759576,100.5451336
0101100F02,74.311,2.4,0.239999995,13.7595376,100.5451087
0101100F02,74.316,2.405,0.25,13.7594989,100.5450851
0101100F02,74.321,2.41,0.245000005,13.7594599,100.5450627
0101100F02,74.326,2.415,0.25999999,13.7594204,100.5450402
0101100F02,74.331,2.42,0.25666666,13.7593815,100.5450179
0101100F02,74.336,2.425,0.25999999,13.7593426,100.5449978
0101100F02,74.341,2.43,0.25333333,13.7593054,100.544985
0101100F02,74.346,2.435,0.25,13.7592684,100.5449723
0101100F02,74.351,2.44,0.239999995,13.7592311,100.5449594
0101100F02,74.356,2.445,0.245000005,13.7591939,100.5449466
0101100F02,74.361,2.45,0.24666667,13.7591502,100.5449332
0101100F02,74.366,2.455,0.234999999,13.7591062,100.5449198
0101100F02,74.371,2.46,0.270000011,13.7590623,100.5449064
0101100F02,74.376,2.465,0.25333333,13.759018,100.5448929
0101100F02,74.381,2.47,0.264999986,13.7589739,100.5448795
0101100F02,74.386,2.475,0.245000005,13.7589297,100.544866
0101100F02,74.391,2.48,0.25,13.7588856,100.5448525
0101100F02,74.396,2.485,0.270000011,13.7588413,100.544839
0101100F02,74.401,2.49,0.25999999,13.7587971,100.5448256
0101100F02,74.406,2.495,0.24000001,13.758753,100.5448121
0101100F02,74.411,2.5,0.25999999,13.7587087,100.5447986
0101100F02,74.416,2.505,0.254999995,13.7586644,100.5447851
0101100F02,74.421,2.51,0.25999999,13.75862,100.5447716
0101100F02,74.426,2.515,0.24333334,13.7585757,100.544758
0101100F02,74.431,2.52,0.25999999,13.7585313,100.5447445
0101100F02,74.436,2.525,0.24666667,13.7584868,100.5447309
0101100F02,74.441,2.53,0.270000011,13.7584424,100.5447192
0101100F02,74.446,2.535,0.245000005,13.7583975,100.5447149
0101100F02,74.451,2.54,0.245000005,13.7583525,100.5447106
0101100F02,74.456,2.545,0.25,13.7583076,100.5447063
0101100F02,74.461,2.55,0.239999995,13.7582623,100.544702
0101100F02,74.466,2.555,0.25999999,13.7582178,100.5447015
0101100F02,74.471,2.56,0.280000001,13.7581727,100.544701
0101100F02,74.476,2.565,0.289999992,13.7581277,100.5447006
0101100F02,74.481,2.57,0.295000017,13.7580828,100.5447001
0101100F02,74.486,2.575,0.269999981,13.7580377,100.5447018
0101100F02,74.491,2.58,0.25999999,13.7579927,100.544704
0101100F02,74.496,2.585,0.280000001,13.7579476,100.5447062
0101100F02,74.501,2.59,0.276666671,13.7579023,100.5447084
0101100F02,74.506,2.595,0.270000011,13.7578568,100.5447124
0101100F02,74.511,2.6,0.280000001,13.7578104,100.5447172
0101100F02,74.516,2.605,0.289999992,13.7577641,100.5447221
0101100F02,74.521,2.61,0.286666662,13.757718,100.5447269
0101100F02,74.526,2.615,0.300000012,13.7576721,100.5447337
0101100F02,74.531,2.62,0.300000012,13.7576272,100.5447419
0101100F02,74.536,2.625,0.296666682,13.7575818,100.5447502
0101100F02,74.541,2.63,0.289999992,13.7575364,100.5447585
0101100F02,74.546,2.635,0.310000002,13.7574931,100.5447674
0101100F02,74.551,2.64,0.289999992,13.7574515,100.544777
0101100F02,74.556,2.645,0.300000012,13.7574099,100.5447867
0101100F02,74.561,2.65,0.310000002,13.757368,100.5447964
0101100F02,74.566,2.655,0.303333342,13.7573254,100.5448035
0101100F02,74.571,2.66,0.289999992,13.7572825,100.5448071
0101100F02,74.576,2.665,0.284999996,13.7572388,100.5448107
0101100F02,74.581,2.67,0.293333322,13.7571948,100.5448143
0101100F02,74.586,2.675,0.289999992,13.7571521,100.5448266
0101100F02,74.591,2.68,0.284999996,13.7571097,100.5448469
0101100F02,74.596,2.685,0.306666672,13.7570672,100.5448674
0101100F02,74.601,2.69,0.289999992,13.7570245,100.544888
0101100F02,74.606,2.695,0.284999996,13.7569812,100.5449088
0101100F02,74.611,2.7,0.280000001,13.7569377,100.5449298
0101100F02,74.616,2.705,0.263333321,13.7568936,100.544951
0101100F02,74.621,2.71,0.280000001,13.7568491,100.5449724
0101100F02,74.626,2.715,0.275000006,13.7568042,100.544994
0101100F02,74.631,2.72,0.25999999,13.7567588,100.5450159
0101100F02,74.636,2.725,0.305000007,13.756713,100.5450379
0101100F02,74.641,2.73,0.245000005,13.7566715,100.5450544
0101100F02,74.646,2.735,0.25333333,13.7566331,100.5450663
0101100F02,74.651,2.74,0.254999995,13.7565945,100.5450783
0101100F02,74.656,2.745,0.270000011,13.7565548,100.545091
0101100F02,74.661,2.75,0.263333321,13.7565108,100.545108
0101100F02,74.666,2.755,0.25,13.7564669,100.5451249
0101100F02,74.671,2.76,0.264999986,13.7564232,100.5451417
0101100F02,74.676,2.765,0.263333321,13.7563816,100.5451585
0101100F02,74.681,2.77,0.266666651,13.7563411,100.5451751
0101100F02,74.686,2.775,0.270000011,13.7563007,100.5451917
0101100F02,74.691,2.78,0.25999999,13.7562601,100.545209
0101100F02,74.696,2.785,0.263333321,13.7562192,100.5452278
0101100F02,74.701,2.79,0.25999999,13.756178,100.5452467
0101100F02,74.706,2.795,0.25999999,13.7561368,100.5452657
0101100F02,74.711,2.8,0.270000011,13.7560941,100.5452822
0101100F02,74.716,2.805,0.300000012,13.7560512,100.5452985
0101100F02,74.721,2.81,0.305000007,13.756008,100.5453149
0101100F02,74.726,2.815,0.303333342,13.7559661,100.5453326
0101100F02,74.731,2.82,0.230000004,13.7559252,100.5453509
0101100F02,74.736,2.825,0.239999995,13.7558839,100.5453693
0101100F02,74.741,2.83,0.24666667,13.7558422,100.5453876
0101100F02,74.746,2.835,0.25,13.7558008,100.5454053
0101100F02,74.751,2.84,0.245000005,13.7557587,100.5454233
0101100F02,74.756,2.845,0.25,13.7557164,100.5454414
0101100F02,74.761,2.85,0.270000011,13.7556742,100.5454594
0101100F02,74.766,2.855,0.25999999,13.7556312,100.5454777
0101100F02,74.771,2.86,0.270000011,13.7555887,100.5454958
0101100F02,74.776,2.865,0.276666671,13.7555474,100.5455134
0101100F02,74.781,2.87,0.270000011,13.7555055,100.5455313
0101100F02,74.786,2.875,0.276666671,13.7554638,100.5455494
0101100F02,74.791,2.88,0.280000001,13.7554223,100.545568
0101100F02,74.796,2.885,0.280000001,13.7553802,100.5455869
0101100F02,74.801,2.89,0.296666682,13.7553388,100.5456054
0101100F02,74.806,2.895,0.266666651,13.7552975,100.5456237
0101100F02,74.811,2.9,0.264999986,13.755256,100.545642
0101100F02,74.816,2.905,0.25999999,13.7552161,100.5456609
0101100F02,74.821,2.91,0.286666662,13.7551764,100.5456799
0101100F02,74.826,2.915,0.264999986,13.7551364,100.5456992
0101100F02,74.831,2.92,0.25,13.7550956,100.5457188
0101100F02,74.836,2.925,0.24666667,13.755054,100.5457388
0101100F02,74.841,2.93,0.25999999,13.755014,100.5457583
0101100F02,74.846,2.935,0.280000001,13.7549732,100.5457782
0101100F02,74.851,2.94,0.270000011,13.7549324,100.5457983
0101100F02,74.856,2.945,0.284999996,13.7548922,100.5458184
0101100F02,74.861,2.95,0.295000017,13.7548505,100.5458395
0101100F02,74.866,2.955,0.300000012,13.7548093,100.545861
0101100F02,74.871,2.96,0.326666683,13.7547688,100.5458826
0101100F02,74.876,2.965,0.310000002,13.7547286,100.5459041
0101100F02,74.881,2.97,0.316666663,13.7546889,100.5459255
0101100F02,74.886,2.975,0.296666682,13.754649,100.5459473
0101100F02,74.891,2.98,0.305000007,13.7546084,100.54597
0101100F02,74.896,2.985,0.303333342,13.7545698,100.5459931
0101100F02,74.901,2.99,0.313333333,13.7545302,100.5460161
0101100F02,74.906,2.995,0.314999998,13.7544928,100.5460395
0101100F02,74.911,3,0.310000002,13.7544536,100.5460628
0101100F02,74.916,3.005,0.296666652,13.7544152,100.5460869
0101100F02,74.921,3.01,0.280000001,13.7543772,100.5461125
0101100F02,74.926,3.015,0.289999992,13.7543395,100.5461377
0101100F02,74.931,3.02,0.276666671,13.7543075,100.546164
0101100F02,74.936,3.025,0.280000001,13.7542698,100.5461903
0101100F02,74.941,3.03,0.270000011,13.7542267,100.5462165
0101100F02,74.946,3.035,0.270000011,13.7541946,100.5462474
0101100F02,74.951,3.04,0.270000011,13.7541624,100.5462764
0101100F02,74.956,3.045,0.289999992,13.7541306,100.5463027
0101100F02,74.961,3.05,0.310000002,13.7540998,100.5463282
