Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longtitude
0101100R01,25.093,7.165,0.330000013,13.718455,100.5534669
0101100R01,25.098,7.16,0.284999996,13.7184948,100.5534445
0101100R01,25.103,7.155,0.290000021,13.7185345,100.553422
0101100R01,25.108,7.15,0.76000005,13.7185733,100.5533974
0101100R01,25.113,7.145,0.745000005,13.7186119,100.5533717
0101100R01,25.118,7.14,0.264999986,13.7186503,100.5533462
0101100R01,25.123,7.135,0.276666671,13.7186898,100.5533239
0101100R01,25.128,7.13,0.286666662,13.7187299,100.5533043
0101100R01,25.133,7.125,0.329999983,13.7187699,100.5532848
0101100R01,25.138,7.12,0.363333344,13.7188101,100.5532652
0101100R01,25.143,7.115,0.25,13.7188502,100.5532456
0101100R01,25.148,7.11,0.25,13.7188901,100.5532261
0101100R01,25.153,7.105,0.25,13.7189301,100.5532066
0101100R01,25.158,7.1,0.270000011,13.7189703,100.553187
0101100R01,25.163,7.095,0.275000006,13.7190102,100.5531675
0101100R01,25.168,7.09,0.245000005,13.7190502,100.553148
0101100R01,25.173,7.085,0.24333334,13.7190903,100.5531284
0101100R01,25.178,7.08,0.25999999,13.71913,100.5531091
0101100R01,25.183,7.075,0.275000006,13.7191701,100.5530898
0101100R01,25.188,7.07,0.263333321,13.7192132,100.553074
0101100R01,25.193,7.065,0.263333321,13.7192563,100.5530582
0101100R01,25.198,7.06,0.280000001,13.7192995,100.5530423
0101100R01,25.203,7.055,0.296666682,13.7193515,100.553024
0101100R01,25.208,7.05,0.283333331,13.7194045,100.5530054
0101100R01,25.213,7.045,0.284999996,13.7194572,100.5529868
0101100R01,25.218,7.04,0.319999993,13.7194942,100.5529866
0101100R01,25.223,7.035,0.323333323,13.7195257,100.5529928
0101100R01,25.228,7.03,0.319999993,13.7195571,100.552999
0101100R01,25.233,7.025,0.344999999,13.7195961,100.5529907
0101100R01,25.238,7.02,0.340000004,13.7196429,100.5529687
0101100R01,25.243,7.015,0.350000024,13.7196893,100.5529468
0101100R01,25.248,7.01,0.355000019,13.7197353,100.5529293
0101100R01,25.253,7.005,0.310000002,13.7197807,100.5529232
0101100R01,25.258,7,0.343333334,13.7198257,100.5529171
0101100R01,25.263,6.995,0.330000013,13.719871,100.552911
0101100R01,25.268,6.99,0.330000013,13.7199168,100.5529125
0101100R01,25.273,6.985,0.300000012,13.7199624,100.552914
0101100R01,25.278,6.98,0.310000002,13.7200079,100.5529155
0101100R01,25.283,6.975,0.319999993,13.7200522,100.5529105
0101100R01,25.288,6.97,0.306666672,13.7200957,100.5529025
0101100R01,25.293,6.965,0.289999992,13.7201392,100.5528946
0101100R01,25.298,6.96,0.284999996,13.7201826,100.5528853
0101100R01,25.303,6.955,0.303333342,13.7202257,100.5528726
0101100R01,25.308,6.95,0.275000006,13.7202689,100.5528599
0101100R01,25.313,6.945,0.280000001,13.720312,100.5528472
0101100R01,25.318,6.94,0.296666652,13.7203571,100.5528418
0101100R01,25.323,6.935,0.266666651,13.7204026,100.5528371
0101100R01,25.328,6.93,0.314999998,13.7204481,100.5528324
0101100R01,25.333,6.925,0.203333333,13.7204929,100.5528277
0101100R01,25.338,6.92,0.313333333,13.7205378,100.5528231
0101100R01,25.343,6.915,0.280000001,13.7205826,100.5528185
0101100R01,25.348,6.91,0.295000017,13.7206276,100.5528141
