Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,299,13.69246957,100.5261157,2.0668,300,1.508,-0.002977371,Start,13.69247,100.526116,FALSE,299.jpg
0103317R02,300,13.69248954,100.5261571,2.0072,301,0.002,0.002035141,Chaloem Maha Nakhon Expressway,13.69249,100.526157,FALSE,300.jpg
0103317R02,301,13.69250913,100.5261985,1.954397801,302,0.007,0.007015228,Chaloem Maha Nakhon Expressway,13.692509,100.526198,FALSE,301.jpg
0103317R02,302,13.69252839,100.5262403,1.912278861,303,0.012,0.01203537,Chaloem Maha Nakhon Expressway,13.692528,100.52624,FALSE,302.jpg
0103317R02,303,13.69254755,100.5262819,1.870369815,304,0.017,0.01702309,Chaloem Maha Nakhon Expressway,13.692548,100.526282,FALSE,303.jpg
0103317R02,304,13.69256692,100.5263241,1.829249625,305,0.022,0.02204704,Chaloem Maha Nakhon Expressway,13.692567,100.526324,FALSE,304.jpg
0103317R02,305,13.69258538,100.5263662,1.814117059,306,0.027,0.02704239,Chaloem Maha Nakhon Expressway,13.692585,100.526366,FALSE,305.jpg
0103317R02,306,13.69260393,100.5264084,1.798909455,307,0.032,0.03203964,Chaloem Maha Nakhon Expressway,13.692604,100.526408,FALSE,306.jpg
0103317R02,307,13.69262258,100.5264509,1.783626813,308,0.037,0.03705025,Chaloem Maha Nakhon Expressway,13.692623,100.526451,FALSE,307.jpg
0103317R02,308,13.6926403,100.5264899,1.864017991,309,0.042,0.04205704,Chaloem Maha Nakhon Expressway,13.69264,100.52649,FALSE,308.jpg
0103317R02,309,13.69265774,100.5265279,1.974122939,310,0.047,0.04703712,Chaloem Maha Nakhon Expressway,13.692658,100.526528,FALSE,309.jpg
0103317R02,310,13.69267528,100.526566,2.084947526,311,0.052,0.05203438,Chaloem Maha Nakhon Expressway,13.692675,100.526566,FALSE,310.jpg
0103317R02,311,13.69269324,100.526606,2.091432821,312,0.057,0.05703735,Chaloem Maha Nakhon Expressway,13.692693,100.526606,FALSE,311.jpg
0103317R02,312,13.69271155,100.5266476,1.995220625,313,0.062,0.06204224,Chaloem Maha Nakhon Expressway,13.692712,100.526648,FALSE,312.jpg
0103317R02,313,13.69272978,100.526689,1.899469509,314,0.067,0.06701469,Chaloem Maha Nakhon Expressway,13.69273,100.526689,FALSE,313.jpg
0103317R02,314,13.69274805,100.5267321,1.740973273,315,0.072,0.07202148,Chaloem Maha Nakhon Expressway,13.692748,100.526732,FALSE,314.jpg
0103317R02,315,13.69276566,100.5267779,1.430358043,316,0.077,0.07702637,Chaloem Maha Nakhon Expressway,13.692766,100.526778,FALSE,315.jpg
0103317R02,316,13.69278336,100.5268239,1.11827534,317,0.082,0.08202362,Chaloem Maha Nakhon Expressway,13.692783,100.526824,FALSE,316.jpg
0103317R02,317,13.69280102,100.5268685,0.95222,318,0.087,0.08703613,Chaloem Maha Nakhon Expressway,13.692801,100.526868,FALSE,317.jpg
0103317R02,318,13.69281771,100.5269044,1.46261,319,0.092,0.09202003,Chaloem Maha Nakhon Expressway,13.692818,100.526904,FALSE,318.jpg
0103317R02,319,13.69283458,100.5269408,1.978565,320,0.097,0.0970192,Chaloem Maha Nakhon Expressway,13.692835,100.526941,FALSE,319.jpg
0103317R02,320,13.69285133,100.5269783,2.41462,321,0.102,0.1019993,Chaloem Maha Nakhon Expressway,13.692851,100.526978,FALSE,320.jpg
0103317R02,321,13.69286651,100.5270268,2.01202,322,0.107,0.1070271,Chaloem Maha Nakhon Expressway,13.692867,100.527027,FALSE,321.jpg
