Section,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0401302R05,13.64300685,100.6812717,3.658415,306,0.217,0.217247,Kanchanapisak Expressway,13.643007,100.681272,FALSE,305.jpg
0401302R05,13.64304029,100.6813031,3.66923962,307,0.222,0.2222233,Kanchanapisak Expressway,13.64304,100.681303,FALSE,306.jpg
0401302R05,13.6430753,100.6813304,3.65694,308,0.227,0.2268715,Kanchanapisak Expressway,13.643075,100.68133,FALSE,307.jpg
0401302R05,13.64311381,100.6813523,3.618305,309,0.232,0.232482,Kanchanapisak Expressway,13.643114,100.681352,FALSE,308.jpg
0401302R05,13.64315531,100.6813727,3.64813253,310,0.237,0.2370768,Kanchanapisak Expressway,13.643155,100.681373,FALSE,309.jpg
0401302R05,13.6431949,100.6813907,3.583549675,311,0.242,0.2419529,Kanchanapisak Expressway,13.643195,100.681391,FALSE,310.jpg
0401302R05,13.64323662,100.6814118,3.5911,312,0.247,0.2472,Kanchanapisak Expressway,13.643237,100.681412,FALSE,311.jpg
0401302R05,13.64327511,100.6814339,3.52378,313,0.252,0.2516727,Kanchanapisak Expressway,13.643275,100.681434,FALSE,312.jpg
0401302R05,13.64331921,100.6814611,3.899644645,314,0.257,0.2574148,Kanchanapisak Expressway,13.643319,100.681461,FALSE,313.jpg
0401302R05,13.64335566,100.6814857,3.82314,315,0.262,0.2616701,Kanchanapisak Expressway,13.643356,100.681486,FALSE,314.jpg
0401302R05,13.64340238,100.6815183,3.73047,316,0.267,0.267477,Kanchanapisak Expressway,13.643402,100.681518,FALSE,315.jpg
0401302R05,13.64344142,100.6815458,3.578595,317,0.272,0.2724848,Kanchanapisak Expressway,13.643441,100.681546,FALSE,316.jpg
0401302R05,13.64348021,100.6815713,3.56,318,0.277,0.2774591,Kanchanapisak Expressway,13.64348,100.681571,FALSE,317.jpg
0401302R05,13.64351839,100.681596,3.453974039,319,0.282,0.2824802,Kanchanapisak Expressway,13.643518,100.681596,FALSE,318.jpg
0401302R05,13.64356149,100.6816195,2.642949424,320,0.287,0.2874594,Kanchanapisak Expressway,13.643554,100.681622,FALSE,319.jpg
0401302R05,13.64360214,100.681645,2.642949424,320,0.292,0.2916899,Kanchanapisak Expressway,13.64359671,100.6816509,FALSE,320.jpg
0401302R05,13.64364279,100.6816706,21.45631184,322,0.298,0.2978678,Kanchanapisak Expressway,13.64363625,100.6816779,FALSE,321.jpg
0401302R05,13.64368344,100.6816962,21.45631184,322,0.303,0.3026152,Kanchanapisak Expressway,13.64367579,100.6817049,FALSE,322.jpg
0401302R05,13.64372409,100.6817218,21.45631184,322,0.308,0.3076267,Kanchanapisak Expressway,13.64371532,100.6817319,FALSE,323.jpg
0401302R05,13.64376474,100.6817474,21.45631184,322,0.313,0.3126411,Kanchanapisak Expressway,13.64375486,100.6817589,FALSE,324.jpg
0401302R05,13.64380539,100.681773,21.45631184,322,0.318,0.3176451,Kanchanapisak Expressway,13.64379439,100.6817859,FALSE,325.jpg
0401302R05,13.64384604,100.6817986,21.45631184,322,0.323,0.3226395,Kanchanapisak Expressway,13.64383393,100.6818129,FALSE,326.jpg
0401302R05,13.64388669,100.6818241,21.45631184,322,0.328,0.3276548,Kanchanapisak Expressway,13.64387346,100.6818399,FALSE,327.jpg
0401302R05,13.64392734,100.6818497,21.45631184,322,0.333,0.3326607,Kanchanapisak Expressway,13.643913,100.6818669,FALSE,328.jpg
0401302R05,13.64396799,100.6818753,5.4168,330,0.338,0.3377094,Kanchanapisak Expressway,13.64395254,100.6818939,FALSE,329.jpg
0401302R05,13.64400864,100.6819009,4.682998501,331,0.343,0.3427677,Kanchanapisak Expressway,13.64399207,100.6819209,FALSE,330.jpg
0401302R05,13.64404929,100.6819265,4.57981991,332,0.348,0.3478336,Kanchanapisak Expressway,13.64403161,100.6819479,FALSE,331.jpg
0401302R05,13.64408993,100.6819521,4.492881441,333,0.353,0.3529139,Kanchanapisak Expressway,13.64407114,100.6819749,FALSE,332.jpg
0401302R05,13.64413058,100.6819777,4.430860861,334,0.358,0.3579388,Kanchanapisak Expressway,13.64411068,100.6820019,FALSE,333.jpg
0401302R05,13.64417123,100.6820032,4.392727273,335,0.363,0.3629541,Kanchanapisak Expressway,13.64415021,100.6820289,FALSE,334.jpg
